ISBN,title,summary,language,country,num_page,cover,publisher,publication_date,authors,genres
9780451527740,Alice's Adventures in Wonderland & Through the Looking-Glass,""" I can't explain myself; I'm afraid; sir;"" said Alice; ""Because I'm not myself; you see.""When Alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it; and a sequence of most unusual events is set in motion. This mini book contains the entire topsy-turvy stories of Alice's Adventures in Wonderland and Through the Looking-Glass; accompanied by practical notes and Martina Pelouso's memorable full-colour illustrations.",English,UK,239,https://images.gr-assets.com/books/1327872220l/24213.jpg,Macmillan,1970-02-01,Lewis Carroll|John Tenniel|Martin Gardner,Classics|Fantasy|Fiction|Childrens
9780142437210,Jane Eyre,Fiery love; shocking twists of fate; and tragic mysteries put a lonely governess in jeopardy in JANE EYRE Orphaned as a child; Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall; where she has been hired by the brooding; proud Edward Rochester to care for his ward Adèle. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy; forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?,English,USA,507,https://images.gr-assets.com/books/1327867269l/10210.jpg,Simon and Schuster,2012-08-09,Charlotte Brontë|Michael Mason,Classics|Fiction|Romance|Historical|Historical Fiction|Literature|Gothic|Historical|Literature|19th Century|Classics|Classic Literature|Academic|School
9780743477120,Romeo and Juliet,In Romeo and Juliet; Shakespeare creates a world of violence and generational conflict in which two young people fall in love and die because of that love. The story is rather extraordinary in that the normal problems faced by young lovers are here so very large. It is not simply that the families of Romeo and Juliet disapprove of the lover's affection for each other; rather; the Montagues and the Capulets are on opposite sides in a blood feud and are trying to kill each other on the streets of Verona. Every time a member of one of the two families dies in the fight; his relatives demand the blood of his killer. Because of the feud; if Romeo is discovered with Juliet by her family; he will be killed. Once Romeo is banished; the only way that Juliet can avoid being married to someone else is to take a potion that apparently kills her; so that she is burried with the bodies of her slain relatives. In this violent; death-filled world; the movement of the story from love at first sight to the union of the lovers in death seems almost inevitable.What is so striking about this play is that despite its extraordinary setting (one perhaps reflecting Elizabethan attitudes about hot-blooded Italians); it has become the quintessential story of young love. Because most young lovers feel that they have to overcome giant obstacles in order to be together; because they feel that they would rather die than be kept apart; and especially because the language Shakespeare gives his young lovers is so exquisite; allowing them to say to each other just what we would all say to a lover if we only knew how; it is easy to respond to this play as if it were about all young lovers rather than about a particular couple in a very unusual world. (When the play was rewritten in the eighteen century as The History and Fall of Caius Marius; the violent setting became that of a particularly discordant period in classical Rome; when Leonard Berstein rewrote the play as West Side Story; he chose the violent world of New York street gangs.),English,USA,283,https://images.gr-assets.com/books/1327872146l/18135.jpg,Penguin,2012-08-09,William Shakespeare|Barbara A. Mowat|Paul Werstine,Classics|Plays|Fiction|Romance|Academic|School|Drama|Academic|Read For School|Literature|Young Adult|High School|Poetry
9780143058140,Crime and Punishment,Raskolnikov; an impoverished student living in the St. Petersburg of the tsars; is determined to overreach his humanity and assert his untrammeled individual will. When he commits an act of murder and theft; he sets into motion a story that; for its excruciating suspense; its atmospheric vividness; and its depth of characterization and vision is almost unequaled in the literatures of the world. The best known of Dostoevsky’s masterpieces; Crime and Punishment can bear any amount of rereading without losing a drop of its power over our imaginations.Dostoevsky’s drama of sin; guilt; and redemption transforms the sordid story of an old woman’s murder into the nineteenth century’s profoundest and most compelling philosophical novel.Award-winning translators Richard Pevear and Larissa Volokhonsky render this elusive and wildly innovative novel with an energy; suppleness; and range of voice that do full justice to the genius of its creator.,English,USA,671,https://images.gr-assets.com/books/1382846449l/7144.jpg,Random House,2002-01-02,Fyodor Dostoyevsky|David McDuff,Classics|Fiction|Cultural|Russia|Literature|Literature|Russian Literature
9780671027350,The Perks of Being a Wallflower,The critically acclaimed debut novel from Stephen Chbosky; Perks follows observant “wallflower�Charlie as he charts a course through the strange world between adolescence and adulthood. First dates; family drama; and new friends. Sex; drugs; and The Rocky Horror Picture Show. Devastating loss; young love; and life on the fringes. Caught between trying to live his life and trying to run from it; Charlie must learn to navigate those wild and poignant roller-coaster days known as growing up.Listening Length: 6 hours and 18 minutes,English,USA,213,https://images.gr-assets.com/books/1520093244l/22628.jpg,Hachette,1970-02-01,Stephen Chbosky,Young Adult|Fiction|Contemporary
9780399155340,The Help,Be prepared to meet three unforgettable women:Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree; but it is 1962; Mississippi; and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine; the woman who raised her; but Constantine has disappeared and no one will tell Skeeter where she has gone.Aibileen is a black maid; a wise; regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son; who died while his bosses looked the other way. She is devoted to the little girl she looks after; though she knows both their hearts may be broken.Minny; Aibileen’s best friend; is short; fat; and perhaps the sassiest woman in Mississippi. She can cook like nobody’s business; but she can’t mind her tongue; so she’s lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.Seemingly as different from one another as can be; these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.In pitch-perfect voices; Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town; and the way women �mothers; daughters; caregivers; friends �view one another. A deeply moving novel filled with poignancy; humor; and hope; The Help is a timeless and universal story about the lines we abide by; and the ones we don't.,English,UK,465,https://images.gr-assets.com/books/1346100365l/4667024.jpg,Penguin,1970-02-01,Kathryn Stockett,Fiction|Historical|Historical Fiction|Historical|Adult
9780743273560,The Great Gatsby,Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)A true classic of twentieth-century literature; this edition has been updated by Fitzgerald scholar James L.W. West III to include the author’s final revisions and features a note on the composition and text; a personal foreword by Fitzgerald’s granddaughter; Eleanor Lanahan—and a new introduction by two-time National Book Award winner Jesmyn Ward.The Great Gatsby; F. Scott Fitzgerald’s third book; stands as the supreme achievement of his career. First published in 1925; this quintessential novel of the Jazz Age has been acclaimed by generations of readers. The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan; of lavish parties on Long Island at a time when The New York Times noted “gin was the national drink and sex the national obsession;�it is an exquisitely crafted tale of America in the 1920s.,English,UK,180,https://images.gr-assets.com/books/1490528560l/4671.jpg,Macmillan,1988-01-01,F. Scott Fitzgerald,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction|Romance|Novels|Academic|Read For School|Young Adult|High School|Literature|American
9780965818670,The Time Traveler's Wife,A funny; often poignant tale of boy meets girl with a twist: what if one of them couldn't stop slipping in and out of time? Highly original and imaginative; this debut novel raises questions about life; love; and the effects of time on relationships.Audrey Niffenegger’s innovative debut; The Time Traveler’s Wife; is the story of Clare; a beautiful art student; and Henry; an adventuresome librarian; who have known each other since Clare was six and Henry was thirty-six; and were married when Clare was twenty-three and Henry thirty-one. Impossible but true; because Henry is one of the first people diagnosed with Chrono-Displacement Disorder: periodically his genetic clock resets and he finds himself misplaced in time; pulled to moments of emotional gravity in his life; past and future. His disappearances are spontaneous; his experiences unpredictable; alternately harrowing and amusing. The Time Traveler’s Wife depicts the effects of time travel on Henry and Clare’s marriage and their passionate love for each other as the story unfolds from both points of view. Clare and Henry attempt to live normal lives; pursuing familiar goals—steady jobs; good friends; children of their own. All of this is threatened by something they can neither prevent nor control; making their story intensely moving and entirely unforgettable.,English,UK,500,https://images.gr-assets.com/books/1380660571l/18619684.jpg,Hachette,1988-01-01,Audrey Niffenegger,Fiction|Romance|Fantasy|Science Fiction|Time Travel|Science Fiction
9780064410940,Charlotte's Web,"This beloved book by E. B. White; author of Stuart Little and The Trumpet of the Swan; is a classic of children's literature that is ""just about perfect."" This high-quality paperback features vibrant illustrations colorized by Rosemary Wells!Some Pig. Humble. Radiant. These are the words in Charlotte's Web; high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur; who simply wants a friend. They also express the love of a girl named Fern; who saved Wilbur's life when he was born the runt of his litter.E. B. White's Newbery Honor Book is a tender novel of friendship; love; life; and death that will continue to be enjoyed by generations to come. This edition contains newly color illustrations by Garth Williams; the acclaimed illustrator of E. B. White's Stuart Little and Laura Ingalls Wilder's Little House series; among many other books.--harpercollins.com",English,USA,184,https://images.gr-assets.com/books/1439632243l/24178.jpg,Simon and Schuster,2002-01-02,E.B. White|Garth Williams|Rosemary Wells,Classics|Childrens|Fiction
9780142000670,Of Mice and Men,The compelling story of two outsiders striving to find their place in an unforgiving world. Drifters in search of work; George and his simple-minded friend Lennie have nothing in the world except each other and a dream--a dream that one day they will have some land of their own. Eventually they find work on a ranch in California’s Salinas Valley; but their hopes are doomed as Lennie; struggling against extreme cruelty; misunderstanding and feelings of jealousy; becomes a victim of his own strength. Tackling universal themes such as the friendship of a shared vision; and giving voice to America’s lonely and dispossessed; Of Mice and Men has proved one of Steinbeck’s most popular works; achieving success as a novel; a Broadway play and three acclaimed films.,English,USA,112,https://images.gr-assets.com/books/1511302904l/890.jpg,Simon and Schuster,1988-01-01,John Steinbeck,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction
